id,category,occasionSlug,sourceKey,bucket,reason,shape,extractOk,extractWhy,gate1Hit,entryType,arabicEmpty,translationEmpty,transliterationEmpty,instructionInTranslation,arabicFrameHit,quranNarrativeSubclause
64:172,Invocation for when it rains,weather-nature,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
65:173,Supplication after it rains,weather-nature,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
66:174,Invocation for the withholding of the rain,weather-nature,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
67:175,Invocation for sighting the new moon,weather-nature,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
68:176,Invocations for breaking the fast,fasting,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
68:177,Invocations for breaking the fast,fasting,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
69:179,Invocations before eating,food-drink,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
7:11,Invocation for leaving the restroom,home-clothing,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
70:180,Invocations after eating,food-drink,dua-dhikr,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
70:181,Invocations after eating,food-drink,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
71:182,A dinner guest's invocation for his host,food-drink,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
72:183,Invocation for someone who gives you drink or offers it to you,food-drink,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
73:184,Invocation for a family who invites you to break your fast with them,fasting,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
75:186,What to say when you are fasting and someone is rude to you,fasting,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
76:187,Invocation for when you see the first dates of the season,food-drink,hisn,BUILDABLE,passes Gate 1/2/3 as currently coded,none,no,no extraction shape applies to this record,,,,,,,,
